fawn	F,AO,N,
unsupportable	AH,N,S,AH,P,AO,R,T,AH,B,AH,L,
nunnery	N,AH,N,ER,IY,
deferment	D,IH,F,ER,M,AH,N,T,
sonja	S,OW,N,Y,AH,
gag	G,AE,G,
circuitry	S,ER,K,AH,T,R,IY,
clotted	K,L,AA,T,AH,D,
spiders	S,P,AY,D,ER,Z,
hanging	HH,AE,NG,IH,NG,
woody	W,UH,D,IY,
comically	K,AA,M,IH,K,AH,L,IY,
localized	L,OW,K,AH,L,AY,Z,D,
sevens	S,EH,V,AH,N,Z,
disobeying	D,IH,S,OW,B,EY,IH,NG,
canes	K,EY,N,Z,
aileen	AY,L,IY,N,
scold	S,K,OW,L,D,
nanking	N,AE,NG,K,IH,NG,
originality	ER,IH,JH,AH,N,AE,L,IH,T,IY,
diplomat's	D,IH,P,L,AH,M,AE,T,S,
refunding	R,IH,F,AH,N,D,IH,NG,
caned	K,EY,N,D,
alphabetic	AE,L,F,AH,B,EH,T,IH,K,
stipulate	S,T,IH,P,Y,AH,L,EY,T,
pigment	P,IH,G,M,AH,N,T,
appropriation	AH,P,R,OW,P,R,IY,EY,SH,AH,N,
rawhide	R,AO,HH,AY,D,
precondition	P,R,IY,K,AH,N,D,IH,SH,AH,N,
strictest	S,T,R,IH,K,T,AH,S,T,
bringing	B,R,IH,NG,IH,NG,
revelers	R,EH,V,AH,L,ER,Z,
wooded	W,UH,D,IH,D,
durocher	D,Y,UW,R,AH,K,ER,
grueling	G,R,UW,IH,L,IH,NG,
broiler	B,R,OY,L,ER,
wooden	W,UH,D,AH,N,
wednesday	W,EH,N,Z,D,IY,
sabotaged	S,AE,B,AH,T,AA,ZH,D,
viable	V,AY,AH,B,AH,L,
broiled	B,R,OY,L,D,
animosities	AE,N,AH,M,AA,S,AH,T,IY,Z,
woods	W,UH,D,Z,
crotch	K,R,AA,CH,
elgar	EH,L,G,ER,
amplifications	AE,M,P,L,AH,F,AH,K,EY,SH,AH,N,Z,
stereotypical	S,T,EH,R,IY,OW,T,IH,P,IH,K,AH,L,
steadfastness	S,T,EH,D,F,AE,S,T,N,AH,S,
festered	F,EH,S,T,ER,D,
pantheistic	P,AE,N,TH,IY,IH,S,T,IH,K,
sooty	S,UW,T,IY,
gaskets	G,AE,S,K,AH,T,S,
complainers	K,AA,M,P,L,EY,N,ER,Z,
scraper	S,K,R,EY,P,ER,
feasibility	F,IY,Z,AH,B,IH,L,AH,T,IY,
bannister	B,AE,N,AH,S,T,ER,
selassie	S,AH,L,AE,S,IY,
francesca	F,R,AE,N,CH,EH,S,K,AH,
consenting	K,AH,N,S,EH,N,T,IH,NG,
frigate's	F,R,IH,G,AH,T,S,
prosody	P,R,AA,S,AH,D,IY,
inanimate	IH,N,AE,N,AH,M,AH,T,
dormancy	D,AO,R,M,AH,N,S,IY,
errors	EH,R,ER,Z,
semicircular	S,EH,M,IY,S,ER,K,Y,AH,L,ER,
reopens	R,IY,OW,P,AH,N,Z,
centimeter	S,EH,N,T,AH,M,IY,T,ER,
cooking	K,UH,K,IH,NG,
warmongering	W,AO,R,M,AA,NG,G,ER,IH,NG,
usenet	Y,UW,Z,N,EH,T,
ernest's	ER,N,AH,S,T,S,
outfielders	AW,T,F,IY,L,D,ER,Z,
televangelists	T,EH,L,AH,V,AE,N,JH,AH,L,AH,S,T,S,
numeral	N,UW,M,ER,AH,L,
pawed	P,AO,D,
hallucinating	HH,AH,L,UW,S,AH,N,EY,T,IH,NG,
succumb	S,AH,K,AH,M,
malting	M,AO,L,T,IH,NG,
crouch	K,R,AW,CH,
mailings	M,EY,L,IH,NG,Z,
perforations	P,ER,F,ER,EY,SH,AH,N,Z,
brainwashed	B,R,EY,N,W,AA,SH,T,
